CODIGO,REFERNCIA,DECRIPCION,CATEGORIA,SUBCATEGORIA,categ/complete,ESTADO,Suma de CANTIDAD ACTUAL,Promedio de PRECIO VENTA,URL Image,Nombre,Atributo_Color,Atributo_Talla,,
7701125190024,190024,BLUSA CAMISETA PUÑO,MUJER,Blusa,MUJER /Blusa,Activo,3,$38.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/190024.jpeg,BLUSA CAMISETA PUÑO,,,,
7700325190026,190026,Buso / Azul / Unica / Mujer,MUJER,Buso,MUJER /Buso,Activo,1,$29.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/190026.jpeg,Buso , Azul , Unica , Mujer,
7703925190027,190027,Buso con capota verde / Combinado / Unica / Mujer,MUJER,Buso,MUJER /Buso,Activo,5,$29.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/190027.jpeg,Buso con capota verde , Combinado , Unica , Mujer,
7703925190032,190032,BUSO AR / Combinado / Unica / Mujer,MUJER,Buso,MUJER /Buso,Activo,5,$29.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/190032.jpeg,BUSO AR , Combinado , Unica , Mujer,
7700201200005,200005,Leggins escarchado negro / Negro / S / Mujer,MUJER,Leguis,MUJER /Leguis,Activo,1,$30.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/200005.jpeg,Leggins escarchado negro , Negro , S , Mujer,
7700202200005,200005,Leggins escarchado negro / Negro / M / Mujer,MUJER,Leguis,MUJER /Leguis,Activo,6,$30.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/200005.jpeg,Leggins escarchado negro , Negro , M , Mujer,
7700204200006,200006,LEGGINS CAFE / cafe / Unica / Mujer,MUJER,Pantalón,MUJER /Pantalón,Activo,4,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/200006.jpeg,LEGGINS CAFE , cafe , Unica , Mujer,
7700317204163,204163,Jeasn azul con una abertura en la parte de abajo / Azul / 29 / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,1,$30.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204163.jpeg,Jeasn azul con una abertura en la parte de abajo , Azul ,29, Mujer,
7700316204164,204164,Jeasn azul oscuro / Azul / 28 / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,2,$30.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204164.jpeg,Jeasn azul oscuro , Azul ,28, Mujer,
7700310204169,204169,JEANS LEVANTA COLA TALLE ALTO 21046 / Azul / 6 / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,1,$51.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204169.jpeg,JEANS LEVANTA COLA TALLE ALTO 21046 , Azul ,6, Mujer,
7700310204173,204173,JEANS LEVANTA COLA TALLE ALTO 21037 / Negro / 6 / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204173.jpeg,JEANS LEVANTA COLA TALLE ALTO 21037 , Negro ,6, Mujer,
7700312204175,204175,JEANS LEVANTA COLA TALLE ALTO MADRUGON / Azul / 10 / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,1,$51.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204175.jpeg,JEANS LEVANTA COLA TALLE ALTO MADRUGON , Azul ,10, Mujer,
7700301204177,204177,JEANS CON PIEDRERIA / Azul / S / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204177.jpeg,JEANS CON PIEDRERIA , Azul , S , Mujer,
7700302204177,204177,JEANS CON PIEDRERIA / Azul / M / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204177.jpeg,JEANS CON PIEDRERIA , Azul , M , Mujer,
7700303204177,204177,JEANS CON PIEDRERIA / Azul / L / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204177.jpeg,JEANS CON PIEDRERIA , Azul , L , Mujer,
7700303204178,204178,JEANS CON PIEDRERIA / Azul / L / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204178.jpeg,JEANS CON PIEDRERIA , Azul , L , Mujer,
7700304204178,204178,JEANS CON PIEDRERIA / Azul / XL / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204178.jpeg,JEANS CON PIEDRERIA , Azul , XL , Mujer,
7700301204179,204179,JEANS CON PIEDRERIA / Azul / S / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204179.jpeg,JEANS CON PIEDRERIA , Azul , S , Mujer,
7700302204179,204179,JEANS CON PIEDRERIA / Azul / L / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204179.jpeg,JEANS CON PIEDRERIA , Azul , L , Mujer,
7700304204179,204179,JEANS CON PIEDRERIA / Azul / XL / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204179.jpeg,JEANS CON PIEDRERIA , Azul , XL , Mujer,
7700302204180,204180,JEANS CON PIEDRERIA / Azul / M / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204180.jpeg,JEANS CON PIEDRERIA , Azul , M , Mujer,
7700307204180,204180,JEANS CON PIEDRERIA / Azul / XS / Mujer,MUJER,Jeans,MUJER /Jeans,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/204180.jpeg,JEANS CON PIEDRERIA , Azul , XS , Mujer,
7700101210000,210000,Blusa camisera / Blanco / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,9,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210000.jpeg,Blusa camisera , Blanco , S , Mujer,
7700102210000,210000,Blusa camisera / Blanco / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,13,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210000.jpeg,Blusa camisera , Blanco , M , Mujer,
7700103210000,210000,Blusa camisera / Blanco / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,16,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210000.jpeg,Blusa camisera , Blanco , L , Mujer,
7700104210000,210000,Blusa camisera / Blanco / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,16,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210000.jpeg,Blusa camisera , Blanco , XL , Mujer,
7700801210000,210000,Blusa camisera / Rosa / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,7,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210000.jpeg,Blusa camisera , Rosa , S , Mujer,
7700802210000,210000,Blusa camisera / Rosa / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,11,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210000.jpeg,Blusa camisera , Rosa , M , Mujer,
7700803210000,210000,Blusa camisera / Rosa / L / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,15,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210000.jpeg,Blusa camisera , Rosa , L , Mujer,
7700804210000,210000,Blusa camisera / Rosa / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,14,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210000.jpeg,Blusa camisera , Rosa , XL , Mujer,
7703801210007,210007,Blusa scuba / Vinotinto / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,9,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210007.jpeg,Blusa scuba , Vinotinto , S , Mujer,
7703802210007,210007,Blusa scuba / Vinotinto / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,3,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210007.jpeg,Blusa scuba , Vinotinto , M , Mujer,
7703804210007,210007,Blusa scuba / Vinotinto / XL / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210007.jpeg,Blusa scuba , Vinotinto , XL , Mujer,
7704101210007,210007,Blusa scuba / Terracota / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210007.jpeg,Blusa scuba , Terracota , S , Mujer,
7700125210016,210016,Blusa Líbano / Blanco / Unica / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210016.jpeg,Blusa Líbano , Blanco , Unica , Mujer,
7702025210016,210016,Blusa Líbano / Belge / Unica / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,1,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210016.jpeg,Blusa Líbano , Belge , Unica , Mujer,
7700202210018,210018,blusa 507 / Negro / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,3,$35.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210018.jpeg,blusa 507 , Negro , M , Mujer,
7700102210042,210042,blusa 008 / Blanco / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,2,$34.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210042.jpeg,blusa 008 , Blanco , M , Mujer,
7700102210050,210050,Blusa Crop-Top / Blanco / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,7,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210050.jpeg,Blusa Crop-Top , Blanco , M , Mujer,
7700201210050,210050,Blusa Crop-Top / Negro / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,2,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210050.jpeg,Blusa Crop-Top , Negro , S , Mujer,
7700202210050,210050,Blusa Crop-Top / Negro / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,12,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210050.jpeg,Blusa Crop-Top , Negro , M , Mujer,
7702101210050,210050,Blusa Crop-Top / Rosado / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,9,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210050.jpeg,Blusa Crop-Top , Rosado , S , Mujer,
7702102210050,210050,Blusa Crop-Top / Rosado / M / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,12,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210050.jpeg,Blusa Crop-Top , Rosado , M , Mujer,
7700301210051,210051,Blusa popelina licrada / Azul / S / Mujer,MUJER,Blusa,MUJER /Blusa,Activo,6,$20.000,https://imageneschyk.s3.us-west-1.amazonaws.com/imageproducts/210051.jpeg,Blusa popelina licrada , Azul , S , Mujer,
